job_id,raw_text,clean_text,required_skills,education_required
job_0,"Job Title: Flutter Developer
        Job Description: We are looking for hire experts flutter developer. So you are eligible this post then apply your resume.
Job Types: Full-time, Part-time
Salary: â‚¹20,000.00 - â‚¹40,000.00 per month
Benefits:
Flexible schedule
Food allowance
Schedule:
Day shift
Supplemental Pay:
Joining bonus
Overtime pay
Experience:
total work: 1 year (Preferred)
Housing rent subsidy:
Yes
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19",job title flutter developer job description looking hire expert flutter developer eligible post apply resume job type full time part time salary per month benefit flexible schedule food allowance schedule day shift supplemental pay joining bonus overtime pay experience total work year preferred housing rent subsidy yes industry software development work remotely temporarily due covid,"['c', 'r']","['me', 'be']"
job_1,"Job Title: Django Developer
        Job Description: PYTHON/DJANGO (Developer/Lead) - Job Code(PDJ - 04)
Strong Python experience in API development (REST/RPC).
Experience working with API Frameworks (Django/flask).
Experience evaluating and improving the efficiency of programs in a Linux environment.
Ability to effectively handle multiple tasks with a high level of accuracy and attention to detail.
Good verbal and written communication skills.
Working knowledge of SQL.
JSON experience preferred.
Good knowledge in automated unit testing using PyUnit.",job title django developer job description python django developer lead job code pdj strong python experience api development rest rpc experience working api framework django flask experience evaluating improving efficiency program linux environment ability effectively handle multiple task high level accuracy attention detail good verbal written communication skill working knowledge sql json experience preferred good knowledge automated unit testing using pyunit,"['python', 'c', 'go', 'r', 'sql', 'api development', 'django', 'flask', 'ux', 'linux', 'unit testing']",['me']
job_2,"Job Title: Machine Learning
        Job Description: Data Scientist (Contractor)

Bangalore, IN

Responsibilities

We are looking for a capable data scientist to join the Analytics team, reporting locally in India Bangalore. This personâ€™s responsibilities include research, design and development of Machine Learning and Deep Learning algorithms to tackle a variety of Fraud oriented challenges. The data scientist will work closely with software engineers and program managers to deliver end-to-end products, including: data collection in big scale and analysis, exploring different algorithmic approaches, model development, assessment and validation â€“ all the way through production.

Qualifications

At least 3 years of hands-on development of complex Machine Learning models using modern frameworks and tools, ideally Python based.
Solid understanding of statistics and applied mathematics
Creative thinker with a proven ability to tackle open problems and apply non-trivial solutions.
Experience in software development using Python, Java or a similar language.
Any Graduate or M.Sc. in Computer Science, Mathematics or equivalent, preferably in Machine Learning
Ability to write clean and concise code
Quick learner, independent, methodical, and detail oriented.
Team player, positive attitude, collaborative, good communication skills.
Dedicated, makes things happen.
Flexible, capable of making decisions in an ambiguous and changing environment.

Advantages:

Prior experience as a software developer or data engineer â€“ advantage
Experience with Big data â€“ advantage
Experience with Spark â€“ big advantage
Experience with Deep Learning frameworks (PyTorch, TensorFlow, Keras) â€“ advantage.
Experience in the Telecommunication domain and/or Fraud prevention - advantage",job title machine learning job description data scientist contractor bangalore responsibility looking capable data scientist join analytics team reporting locally india bangalore person responsibility include research design development machine learning deep learning algorithm tackle variety fraud oriented challenge data scientist work closely software engineer program manager deliver end end product including data collection big scale analysis exploring different algorithmic approach model development assessment validation way production qualification least year hand development complex machine learning model using modern framework tool ideally python based solid understanding statistic applied mathematics creative thinker proven ability tackle open problem apply non trivial solution experience software development using python java similar language graduate computer science mathematics equivalent preferably machine learning ability write clean concise code quick learner independent methodical detail oriented team player positive attitude collaborative good communication skill dedicated make thing happen flexible capable making decision ambiguous changing environment advantage prior experience software developer data engineer advantage experience big data advantage experience spark big advantage experience deep learning framework pytorch tensorflow kera advantage experience telecommunication domain fraud prevention advantage,"['python', 'java', 'c', 'go', 'r', 'machine learning', 'deep learning', 'tensorflow', 'pytorch', 'ui', 'spark']","['big data', 'machine learning', 'computer science', 'me']"
job_3,"Job Title: iOS Developer
        Job Description: JOB DESCRIPTION:

Strong framework outside of iOS is always a plus

iOS experience and generalist engineers with backgrounds in related technologies is a plus

A disciplined approach to development, documentation and file structure

Strong visual design sense and excellent taste

A constant desire to improve, learn more and take things higher

An excellent understanding of networking, mobile network issues, concurrency and threading

Experience working with internationalized apps

RESPONSIBILITIES
Design and build advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features..
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Have published one or more iOS apps in the app store.
A deep familiarity with Objective-C and Cocoa Touch.
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Responsible for working on different layers of the iOS apps.
Help architect and maintain our set of native mobile applications.",job title io developer job description job description strong framework outside io always plus io experience generalist engineer background related technology plus disciplined approach development documentation file structure strong visual design sense excellent taste constant desire improve learn take thing higher excellent understanding networking mobile network issue concurrency threading experience working internationalized apps responsibility design build advanced application io platform collaborate cross functional team define design ship new feature work bug fixing improving application performance continuously discover evaluate implement new technology maximize development efficiency published one io apps app store deep familiarity objective cocoa touch experience working io framework core data core animation core graphic core text experience third party library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile development life cycle responsible working different layer io apps help architect maintain set native mobile application,"['c', 'r', 'excel', 'ui']",['me']
job_4,"Job Title: Full Stack Developer
        Job Description: job responsibility full stack engineer â€“ react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart â€™ prowess making react j native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart â€™ various web mobile solution full stack engineer help build petsmart â€™ competency using react j native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment creates/oversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor le experienced developer remain current latest web technology seeking integrate solution appropriate â€™ bring table 5+ year hands-on experience web development 2+ year recent experience working react strong experience various j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept full stack web development architecture expertise experience mvc object-oriented programming concept experience implementing responsive design adaptive design demonstrated strong front-end development skill especially concerning accessibility extensibility client-side computing object-oriented design pattern object-oriented cs experience sass/less/postcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction self-motivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical trouble-shooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team â€™ growing faster pace ever investing heavily cutting-edge technology importantly _our people._ petsmart team â€™ department valued business partner every area company every level associate empowered come innovative idea strategic impact business â€™ take pride work â€œ â€ behind allâ€”for love pet click meet mike goodwin petsmart â€™ cio â€™ love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work ! work-life balance family event movie night art event holiday festival â€œ top dog â€ gym equipment fitness class massage therapist personal trainer â€œ sit & stay â€ cafÃ© serving fresh breakfast lunch option starbucks cartâ€”productivity finest ! â€œ lil â€™ paw â€ learning center onsite childcare facility volunteer event petsmart charity submit resume",job title full stack developer job description job responsibility full stack engineer react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart prowess making react native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart various web mobile solution full stack engineer help build petsmart competency using react native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment creates oversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor experienced developer remain current latest web technology seeking integrate solution appropriate bring table year hand experience web development year recent experience working react strong experience various library framework redux angular vue etc expert understanding javascript html restful apis http networking concept full stack web development architecture expertise experience mvc object oriented programming concept experience implementing responsive design adaptive design demonstrated strong front end development skill especially concerning accessibility extensibility client side computing object oriented design pattern object oriented experience sas less postcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction self motivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical trouble shooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success computer science equivalent team growing faster pace ever investing heavily cutting edge technology importantly people petsmart team department valued business partner every area company every level associate empowered come innovative idea strategic impact business take pride work behind love pet click meet mike goodwin petsmart cio love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work work life balance family event movie night art event holiday festival top dog gym equipment fitness class massage therapist personal trainer sit stay caf serving fresh breakfast lunch option starbucks cart productivity finest lil paw learning center onsite childcare facility volunteer event petsmart charity submit resume,"['java', 'c', 'javascript', 'go', 'r', 'scala', 'excel', 'html', 'css', 'javascript', 'react', 'angular', 'vue', 'ui', 'ux', 'git', 'agile', 'scalability']","['computer science', 'me', 'be']"
job_5,"Job Title: Java Developer
        Job Description: Software Developer - Integration*
Immediate Opening!*
A dynamic Akron / Cleveland area company is looking for an experienced software developer. The Integration Developer designs, develops, tests, maintains and enhances multiple systems serving internal users as well as our suppliers and customers. The Integration Developer interacts with IT and other internal business partners to deliver systems that advance company strategy and improve the enterprise capability of IT.
Candidates need to demonstrate experience in the following skillsets: *
Â· Proven technical expertise in the design, development, coding, testing, and debugging of enterprise software.

Â· Strong knowledge of web services (WSDL, Soap, Restful).

Â· Experience working with relational databases.

Â· Experience authoring and maintaining data access and / or database queries.

Â· Familiar with standard software design patterns, methodologies, and the MVC architecture.

Â· Proficient in the following technologies: C#, .NET, .NET Core, HTML5, CSS3, MsSQL, MySQL, ReactJS.

Â· Experience working with and/or administering Microsoft IIS

Â· Experience with SYSPROâ€™s ERP package a plus but not required
Candidates must be able to execute the following functions: *
Â· Creates and deploys code and configuration associated with support and project work across our application portfolio.

Â· Assists in creating, evolving and standardizing technical processes such as source code management, continuous integration, etc.

Â· Submits code and configuration with high levels of quality, performance, security, scalability and extensibility.

Â· Assists in the creation and evaluation of business requirements and project plans.
Other requirements include: *
Â· Takes pride in delivering work on time and with quality

Â· Good problem solving and decision making abilities

Â· Ability to learn quickly in a fast-paced environment

Â· Ability to both work independently and with teams

Â· Effectively juggles a continuous mix of support and project work

Â· Able to work off hours / provide on-call support when needed

The ideal candidate must be a self-starter, able to work independently, and have experience in the skillsets mentioned above. This position requires a highly responsible and organized individual with a good work ethic and a minimum of two years of experience using the tools and technologies noted above.

Compensation is commensurate with experience.
Industries* - Manufacturing-Other
Education* - Bachelor's Degree in Computer Science, Information Systems, or related field, or combination of education and equivalent work experience.
Job Type: Contract

Experience:
Software development: 2 years (Required)
Work Location:
One location
Work Remotely:
No",job title java developer job description software developer integration immediate opening dynamic akron cleveland area company looking experienced software developer integration developer design develops test maintains enhances multiple system serving internal user well supplier customer integration developer interacts internal business partner deliver system advance company strategy improve enterprise capability candidate need demonstrate experience following skillsets proven technical expertise design development coding testing debugging enterprise software strong knowledge web service wsdl soap restful experience working relational database experience authoring maintaining data access database query familiar standard software design pattern methodology mvc architecture proficient following technology net net core html cs mssql mysql reactjs experience working administering microsoft ii experience syspro erp package plus required candidate must able execute following function creates deploys code configuration associated support project work across application portfolio assist creating evolving standardizing technical process source code management continuous integration etc submits code configuration high level quality performance security scalability extensibility assist creation evaluation business requirement project plan requirement include take pride delivering work time quality good problem solving decision making ability ability learn quickly fast paced environment ability work independently team effectively juggle continuous mix support project work able work hour provide call support needed ideal candidate must self starter able work independently experience skillsets mentioned position requires highly responsible organized individual good work ethic minimum two year experience using tool technology noted compensation commensurate experience industry manufacturing education bachelor degree computer science information system related field combination education equivalent work experience job type contract experience software development year required work location one location work remotely,"['java', 'c', 'go', 'r', 'scala', 'sql', 'mysql', 'html', 'react', 'ui', 'database', 'scalability']","['computer science', 'me']"
job_6,"Job Title: Full Stack Developer
        Job Description: senior full stack developer \- 1800026h cwt looking senior full stack developer proven back-end skill well strong front-end skill role â€™ use cutting-edge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop back-end system designed scale analyze business software requirement develop back-end software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification b.sc degree computer science engineering relevant field equivalent industry experience minimum 2 year experience developing following nodejs java experience nosql solution mongodb elasticsearch redis experience react/angular knowledge single-page application spa development advantage experience javascript cs html responsive ui & cross browser advantage experienced developing rich large-scale web application advantage experience developing robust http apis back-end service passion technology building product team player excellent interpersonal skill self-motivated independent learner eligible candidate must valid passport able travel israel 6 week training shortly hired primary location us-il-chicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p & t_hotel product experience level 3 5 year job posting may 9 2018 equal opportunity employer/affirmative action employer organization discriminate employment practice due applicant â€™ race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protected class",job title full stack developer job description senior full stack developer cwt looking senior full stack developer proven back end skill well strong front end skill role use cutting edge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop back end system designed scale analyze business software requirement develop back end software test learn new technology broaden tech stack provide tier production support handle live production issue participate develop agile software development process qualification degree computer science engineering relevant field equivalent industry experience minimum year experience developing following nodejs java experience nosql solution mongodb elasticsearch redis experience react angular knowledge single page application spa development advantage experience javascript html responsive cross browser advantage experienced developing rich large scale web application advantage experience developing robust http apis back end service passion technology building product team player excellent interpersonal skill self motivated independent learner eligible candidate must valid passport able travel israel week training shortly hired primary location chicago work home employment type standard job family information technology scope global travel yes time shift day job organization hotel product experience level year job posting may equal opportunity employer affirmative action employer organization discriminate employment practice due applicant race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protected class,"['java', 'c', 'javascript', 'go', 'r', 'sql', 'mongodb', 'excel', 'nodejs', 'html', 'javascript', 'react', 'angular', 'ui', 'redis', 'elasticsearch', 'agile', 'system design']","['computer science', 'me', 'information technology']"
job_7,"Job Title: JavaScript Developer
        Job Description: Job Description:

ReactJS + NodeJs, Azure Functions, and GraphQL capability

Strong hands on experience on javascript frameworks like reactjs
Having hands on experience on nodejs
Hands on experience on Azure function and integrations
Strong hands on experience on HTML5/CSS3/Javascript
Excellent written and verbal communication.
Knowledge of REST as well as GRAPHQL
Experience Range:

3 - 8 years

Educational Qualifications:

Any graduation, and Any PG and Any Doctorate

Job Responsibilities:

Implementing visual components & building rich UI for complex internal and external systems.
Taking ownership of modules, and building the foundation of new systems which are inline with improved quality, process & productivity
Have a passion for quality and writing clean, solid, readable code that scales and performs well.

Skills Required :

ReactJS, NodeJS, Azure Functions, GraphQL,

Job Code : #KL-DP3PZB64",job title javascript developer job description job description reactjs nodejs azure function graphql capability strong hand experience javascript framework like reactjs hand experience nodejs hand experience azure function integration strong hand experience html cs javascript excellent written verbal communication knowledge rest well graphql experience range year educational qualification graduation doctorate job responsibility implementing visual component building rich complex internal external system taking ownership module building foundation new system inline improved quality process productivity passion quality writing clean solid readable code scale performs well skill required reactjs nodejs azure function graphql job code pzb,"['java', 'c', 'javascript', 'r', 'excel', 'nodejs', 'html', 'javascript', 'react', 'ui', 'azure']","['me', 'doctorate']"
job_8,"Job Title: DevOps Engineer
        Job Description: Main Responsibilities and Deliverables:
Manage/support the rollout, scalability and execution of the automation as it is consumed by the various teams
Ensure automation services scales to handle rapid growth
Using the automations, establish the ability to measure and optimize system health and performance.
On an ongoing basis; configure, tune and troubleshoot automations to achieve optimal application performance and stability
Strong scripting experience with; Bash, Ruby, Python, Java.
Solid experience working with commercial grade automated deployment & configuration mgmt. tools such as; Puppet, Chef, Cloudify, CFEngine. (Puppet skills strongly coveted.)
Strong â€œhands-onâ€ experience with open source and provisioning tools such as; Cobbler, Foreman, PHP, and Linux or other likewise open source systems, tools /utilities.
Strong senior level Linux & Windows OS experience & troubleshooting skills
Experience with application debugging, performance, scalability & capacity planning expertise
Manage full system lifecycle of automations including configuration and code deployment in user acceptance test and production environments
Improve automated product performance health checks and â€œself-healingâ€ capabilities in complex highly available Cloud environments.
Participates and assists to drive the automation tools roadmap to increase availability, performance and reduce support demands.
Drive the adoption of Infrastructure as Code in a DevOps oriented organization
Partner with R&D teams to engineer resilient, supportable and scalable products
Architect solutions to leverage the best of Cloud infrastructure
Experience with tools and software such as Urban Code, Hadoop, Tomcat, Mule, OpenAM and Apache
Experience with F5 load balancers, networking theory and protocols (TCP/IP, HTTP, NTP, DNS) and hardware components.",job title devops engineer job description main responsibility deliverable manage support rollout scalability execution automation consumed various team ensure automation service scale handle rapid growth using automation establish ability measure optimize system health performance ongoing basis configure tune troubleshoot automation achieve optimal application performance stability strong scripting experience bash ruby python java solid experience working commercial grade automated deployment configuration mgmt tool puppet chef cloudify cfengine puppet skill strongly coveted strong hand experience open source provisioning tool cobbler foreman php linux likewise open source system tool utility strong senior level linux window experience troubleshooting skill experience application debugging performance scalability capacity planning expertise manage full system lifecycle automation including configuration code deployment user acceptance test production environment improve automated product performance health check self healing capability complex highly available cloud environment participates assist drive automation tool roadmap increase availability performance reduce support demand drive adoption infrastructure code devops oriented organization partner team engineer resilient supportable scalable product architect solution leverage best cloud infrastructure experience tool software urban code hadoop tomcat mule openam apache experience load balancer networking theory protocol tcp ntp dns hardware component,"['python', 'java', 'c', 'go', 'r', 'scala', 'php', 'bash', 'rag', 'ux', 'hadoop', 'linux', 'scalability']","['me', 'be', 'mca']"
job_9,"Job Title: Software Engineer
        Job Description: Overview


Based in Silicon Valley, Tintri is a wholly owned subsidiary of DataDirect Networks (DDN.com), the data-at-scale powerhouse and worldâ€™s largest privately held storage company. Tintri solutions serve the needs of enterprise data centres with intelligent infrastructure. Our product portfolio includes advanced technologies from Tintri (acquired September 2018), Nexenta (acquired May 2019), and IntelliFlash (acquired from Western Digital November 2019). This portfolio offers a fresh choice and a new experience to elevate your user experiences through automation, analytic insight, and tight integration with application workflows for your enterprise applications, including mission-critical databases and business applications, virtualization, and flexible software defined solutions. Learn more about the Tintri portfolio of solutions at https://www.tintri.com/products

Tintri is looking for motivated and passionate individuals that are self-motivated in their work and careers but we are valuing and thriving in an environment where collaboration and teamwork are at best. We are all together on a quest to provide game changing storage solutions.

Job Description


Job Location: Pune

RED Senior Software Engineer â€“ REST API Dev

Job Description

Responsibilities:

We are looking for a Senior Software Engineer for our RED Tintri Storage engineering team who will design, build and deliver the configuration and deployment tools of DDN RED software storage product:
Participate in the definition and implementation of the RED REST API allowing to configure, deploy and manage the RED solution on premises and on cloud.
Participate in the system tools definition and implementation providing interaction with the storage deployments to perform analytics and provide value-added services to customers and users.
Development competencies:
Knowledge of REST API
Strong experience in developing and debugging C/C++ for Linux/Unix
Experience in developing with Python, Go
Experiences with Git, Gerrit and Jenkins
Very good written/verbal communication skills in English
The ideal candidate has knowledge of and experience in several of the following subjects:
Knowledge of configuration and deployment large systems on cloud or on premise
Knowledge of deployment on VMs and containers
Knowledge of development or utilization of control or data plane API for systems' management
Skills and Experience:
Minimum 7 years of software development experience
Excellent written/verbal communication skills
Excellent time management skills, with the ability to independently prioritize, multitask, and work under deadlines in a fast paced environment
Strong interpersonal skills and ability to interact effectively with program staff
Strong team player
Highly effective analytical, problem solving, decision making and influencing capabilities
Storage industry experience desired.
Minimum of BS or MS; computer engineering, computer science or related technical field.",job title software engineer job description overview based silicon valley tintri wholly owned subsidiary datadirect network ddn com data scale powerhouse world largest privately held storage company tintri solution serve need enterprise data centre intelligent infrastructure product portfolio includes advanced technology tintri acquired september nexenta acquired may intelliflash acquired western digital november portfolio offer fresh choice new experience elevate user experience automation analytic insight tight integration application workflow enterprise application including mission critical database business application virtualization flexible software defined solution learn tintri portfolio solution tintri looking motivated passionate individual self motivated work career valuing thriving environment collaboration teamwork best together quest provide game changing storage solution job description job location pune red senior software engineer rest api dev job description responsibility looking senior software engineer red tintri storage engineering team design build deliver configuration deployment tool ddn red software storage product participate definition implementation red rest api allowing configure deploy manage red solution premise cloud participate system tool definition implementation providing interaction storage deployment perform analytics provide value added service customer user development competency knowledge rest api strong experience developing debugging linux unix experience developing python experience git gerrit jenkins good written verbal communication skill english ideal candidate knowledge experience several following subject knowledge configuration deployment large system cloud premise knowledge deployment vms container knowledge development utilization control data plane api system management skill experience minimum year software development experience excellent written verbal communication skill excellent time management skill ability independently prioritize multitask work deadline fast paced environment strong interpersonal skill ability interact effectively program staff strong team player highly effective analytical problem solving decision making influencing capability storage industry experience desired minimum computer engineering computer science related technical field,"['python', 'c', 'go', 'r', 'excel', 'rag', 'rest api', 'ui', 'ux', 'database', 'jenkins', 'linux', 'unix', 'git']","['computer engineering', 'computer science', 'me', 'be']"
